crash_id,state,remoteness,sa4_name,lga_name,road_type
20242054,VIC,Major Cities of Australia,Melbourne - West,Wyndham,Arterial Road
20242221,VIC,Inner Regional Australia,Geelong,Surf Coast,Sub-arterial Road
20242197,VIC,Inner Regional Australia,Warrnambool and South West,Colac Otway,Arterial Road
20241075,NSW,Outer Regional Australia,Far West and Orana,Gilgandra,National or State Highway
20241279,NSW,Major Cities of Australia,Sydney - South West,Fairfield,Local Road
20243095,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Local Road
20243272,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Isaac,National or State Highway
20243027,QLD,Major Cities of Australia,Brisbane Inner City,Brisbane,National or State Highway
20248001,ACT,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Collector Road
20242228,VIC,Major Cities of Australia,Melbourne - North West,Merri-bek,Sub-arterial Road
20242105,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Sub-arterial Road
20241069,NSW,Major Cities of Australia,Sydney - South West,Liverpool,Collector Road
20244074,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Adelaide Plains,Local Road
20244008,SA,Inner Regional Australia,South Australia - South East,Alexandrina,National or State Highway
20243100,QLD,Inner Regional Australia,Ipswich,Ipswich,Sub-arterial Road
20241122,NSW,Major Cities of Australia,Hunter Valley exc Newcastle,Cessnock,National or State Highway
20244064,SA,Outer Regional Australia,South Australia - South East,Berri Barmera,Arterial Road
20243138,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road
20241141,NSW,Inner Regional Australia,Illawarra,Wollongong,Arterial Road
20241244,NSW,Major Cities of Australia,Illawarra,Wollongong,Arterial Road
20242236,VIC,Inner Regional Australia,Hume,Wangaratta,Arterial Road
20242195,VIC,Inner Regional Australia,Hume,Wodonga,Local Road
20242010,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Arterial Road
20242205,VIC,Inner Regional Australia,Hume,Murrindindi,Arterial Road
20244002,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Local Road
20242041,VIC,Inner Regional Australia,Hume,Indigo,Arterial Road
20242084,VIC,Major Cities of Australia,Melbourne - South East,Greater Dandenong,Arterial Road
20243230,QLD,Outer Regional Australia,Darling Downs - Maranoa,Goondiwindi,National or State Highway
20241114,NSW,Major Cities of Australia,Richmond - Tweed,Tweed,Arterial Road
20243068,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Local Road
20243099,QLD,Inner Regional Australia,Wide Bay,South Burnett,Sub-arterial Road
20242145,VIC,Inner Regional Australia,Latrobe - Gippsland,Wellington,Local Road
20243062,QLD,Inner Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway
20244048,SA,Major Cities of Australia,Adelaide - Central and Hills,Adelaide,Local Road
20241112,NSW,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road
20243047,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,National or State Highway
20242198,VIC,Inner Regional Australia,Melbourne - North East,Mitchell,Arterial Road
20243202,QLD,Remote Australia,Cairns,Cassowary Coast,National or State Highway
20244029,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Local Road
20241185,NSW,Inner Regional Australia,Richmond - Tweed,Ballina,Local Road
20242153,VIC,Major Cities of Australia,Melbourne - North West,Hume,Local Road
20243257,QLD,Outer Regional Australia,Townsville,Burdekin,Collector Road
20243149,QLD,Major Cities of Australia,Brisbane - West,Brisbane,Collector Road
20242202,VIC,Outer Regional Australia,Latrobe - Gippsland,East Gippsland,Local Road
20243245,QLD,Inner Regional Australia,Moreton Bay - South,Moreton Bay,Local Road
20244004,SA,Major Cities of Australia,Adelaide - West,West Torrens,Sub-arterial Road
20241123,NSW,Outer Regional Australia,Far West and Orana,Warrumbungle,Sub-arterial Road
20242222,VIC,Outer Regional Australia,North West,Yarriambiack,National or State Highway
20242248,VIC,Inner Regional Australia,Melbourne - South East,Cardinia,Arterial Road
20241213,NSW,Inner Regional Australia,New England and North West,Armidale,National or State Highway
20242220,VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,Local Road
20242047,VIC,Major Cities of Australia,Melbourne - West,Wyndham,Arterial Road
20243270,QLD,Outer Regional Australia,Cairns,Douglas,National or State Highway
20241121,NSW,Inner Regional Australia,Riverina,Snowy Valleys,National or State Highway
20243016,QLD,Inner Regional Australia,Central Queensland,Rockhampton,Local Road
20241038,NSW,Inner Regional Australia,Capital Region,Hilltops,Arterial Road
20243200,QLD,Major Cities of Australia,Ipswich,Ipswich,Sub-arterial Road
20243039,QLD,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Sub-arterial Road
20242246,VIC,Major Cities of Australia,Melbourne - Inner South,Glen Eira,Arterial Road
20242063,VIC,Inner Regional Australia,Melbourne - North West,Macedon Ranges,Collector Road
20243180,QLD,Inner Regional Australia,Gold Coast,Gold Coast,Sub-arterial Road
20241297,NSW,Outer Regional Australia,New England and North West,Inverell,Access road
20243059,QLD,Major Cities of Australia,Brisbane - South,Brisbane,Collector Road
20242242,VIC,Inner Regional Australia,Hume,Mitchell,Local Road
20242091,VIC,Major Cities of Australia,Melbourne - Outer East,Whitehorse,Collector Road
20243077,QLD,Very Remote Australia,Queensland - Outback,Cloncurry,Sub-arterial Road
20244038,SA,Major Cities of Australia,Adelaide - North,Tea Tree Gully,Sub-arterial Road
20243136,QLD,Major Cities of Australia,Brisbane - North,Brisbane,Local Road
