crash_id,year,month,day_of_week,time_of_day,christmas,easter
20155140,2015,11,Weekday,Night,No,No
20151252,2015,11,Weekday,Day,No,No
20151123,2015,11,Weekday,Day,No,No
20157005,2015,11,Weekday,Day,No,No
20151179,2015,11,Weekday,Day,No,No
20151011,2015,11,Weekday,Day,No,No
20156021,2015,11,Weekday,Day,No,No
20152052,2015,11,Weekday,Night,No,No
20151311,2015,11,Weekday,Night,No,No
20151220,2015,11,Weekday,Night,No,No
20151223,2015,11,Weekday,Night,No,No
20151191,2015,11,Weekday,Day,No,No
20151258,2015,11,Weekday,Day,No,No
20152012,2015,11,Weekday,Day,No,No
20151172,2015,11,Weekday,Day,No,No
20151200,2015,11,Weekday,Day,No,No
20152170,2015,11,Weekday,Day,No,No
20151261,2015,11,Weekday,Day,No,No
20155026,2015,11,Weekday,Day,No,No
20151048,2015,11,Weekday,Day,No,No
20151142,2015,11,Weekday,Night,No,No
20151122,2015,10,Weekday,Night,No,No
20154006,2015,10,Weekday,Night,No,No
20152203,2015,10,Weekday,Day,No,No
20151042,2015,10,Weekday,Day,No,No
20151055,2015,10,Weekday,Day,No,No
20152067,2015,10,Weekday,Day,No,No
20154082,2015,10,Weekday,Day,No,No
20154049,2015,10,Weekday,Day,No,No
20155029,2015,10,Weekday,Day,No,No
20152142,2015,10,Weekday,Day,No,No
20151080,2015,10,Weekend,Night,No,No
20154066,2015,10,Weekend,Night,No,No
20151117,2015,10,Weekday,Day,No,No
20151001,2015,10,Weekday,Day,No,No
20152053,2015,10,Weekday,Day,No,No
20152043,2015,10,Weekday,Day,No,No
20156024,2015,10,Weekday,Day,No,No
20152115,2015,10,Weekday,Day,No,No
20155076,2015,10,Weekday,Day,No,No
20156026,2015,10,Weekday,Day,No,No
20155130,2015,10,Weekday,Day,No,No
20152214,2015,10,Weekday,Day,No,No
20154071,2015,10,Weekday,Day,No,No
20154032,2015,10,Weekday,Day,No,No
20152083,2015,10,Weekend,Night,No,No
20155097,2015,10,Weekend,Night,No,No
20157003,2015,10,Weekend,Day,No,No
20152120,2015,10,Weekend,Day,No,No
20154083,2015,10,Weekend,Day,No,No
20154056,2015,10,Weekend,Day,No,No
20151268,2015,10,Weekend,Day,No,No
20154053,2015,10,Weekend,Day,No,No
20152008,2015,10,Weekend,Day,No,No
20151195,2015,10,Weekend,Day,No,No
20151159,2015,10,Weekend,Day,No,No
20151257,2015,10,Weekend,Day,No,No
20157023,2015,10,Weekend,Day,No,No
20151126,2015,10,Weekend,Day,No,No
20151022,2015,10,Weekend,Day,No,No
20152049,2015,10,Weekend,Night,No,No
20152204,2015,10,Weekend,Night,No,No
20151064,2015,10,Weekend,Night,No,No
20151228,2015,10,Weekend,Night,No,No
20154065,2015,10,Weekend,Night,No,No
20154060,2015,10,Weekend,Day,No,No
20151133,2015,10,Weekend,Day,No,No
20154027,2015,10,Weekend,Day,No,No
20152114,2015,10,Weekend,Day,No,No
20156003,2015,10,Weekend,Day,No,No
20154075,2015,10,Weekend,Day,No,No
20154042,2015,10,Weekend,Day,No,No
20154069,2015,10,Weekend,Day,No,No
20151302,2015,10,Weekend,Night,No,No
20151061,2015,10,Weekend,Night,No,No
20151293,2015,10,Weekend,Night,No,No
20151047,2015,10,Weekend,Night,No,No
20152215,2015,10,Weekday,Night,No,No
20155015,2015,10,Weekday,Night,No,No
20152020,2015,10,Weekday,Day,No,No
20151079,2015,10,Weekday,Day,No,No
20152179,2015,10,Weekday,Day,No,No
20152123,2015,10,Weekday,Day,No,No
